account_id,customer_id,account_type,country,currency,status,created_at
A001,C001,CURRENT,IN,INR,ACTIVE,2025-01-15
A002,C002,SAVINGS,IN,INR,ACTIVE,2025-02-20
A003,C003,CURRENT,IN,INR,ACTIVE,2025-03-10
A004,C004,SAVINGS,SG,SGD,ACTIVE,2024-11-05
A005,C005,CURRENT,AE,AED,ACTIVE,2025-04-12
A006,C006,SAVINGS,IN,INR,ACTIVE,2025-05-18
A007,C007,CURRENT,IN,INR,ACTIVE,2025-06-22
A008,C008,SAVINGS,US,USD,ACTIVE,2024-09-30
A009,C009,CURRENT,IN,INR,ACTIVE,2025-07-14
A010,C010,SAVINGS,IN,INR,ACTIVE,2025-08-01
