transaction_id,sender_id,receiver_id,amount,currency,transaction_type,timestamp,status
T001,A001,A002,2500,INR,TRANSFER,2026-09-01 09:00,SUCCESS
T002,A002,A003,3200,INR,TRANSFER,2026-09-01 10:30,SUCCESS
T003,A003,A006,1800,INR,TRANSFER,2026-09-01 11:45,SUCCESS
T004,A006,A007,4500,INR,TRANSFER,2026-09-01 13:00,SUCCESS
T005,A001,A004,95000,SGD,INTERNATIONAL,2026-09-01 14:00,SUCCESS
T006,A004,A005,93000,AED,INTERNATIONAL,2026-09-01 14:03,SUCCESS
T007,A005,A008,92000,USD,INTERNATIONAL,2026-09-01 14:06,SUCCESS
T008,A008,A001,90000,INR,INTERNATIONAL,2026-09-01 14:09,SUCCESS
T009,A009,A002,4900,INR,TRANSFER,2026-09-01 15:00,SUCCESS
T010,A009,A003,4850,INR,TRANSFER,2026-09-01 15:02,SUCCESS
